Apartment_id,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
772,28-06-2022,3,120000,1379,17 out of 27,Carpet Area,Parmanand Wadi,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
773,23-06-2022,1,60000,500,9 out of 10,Carpet Area,"Vaibhav Apartments, Dadar West",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
774,26-06-2022,3,120000,1400,10 out of 32,Super Area,"Avarsekar Heights, Worli",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
775,30-06-2022,1,40000,390,4 out of 12,Carpet Area,Parel,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
776,04-06-2022,2,50000,935,2 out of 6,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
777,27-05-2022,2,36000,535,12 out of 16,Carpet Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
778,10-06-2022,3,150000,1250,6 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
779,12-06-2022,4,230000,3700,5 out of 20,Carpet Area,"Lake Superior, Powai",Mumbai,Furnished,Bachelors/Family,4,Contact Agent
780,28-06-2022,1,25000,350,10 out of 24,Carpet Area,Lower Parel,Mumbai,Unfurnished,Bachelors,2,Contact Agent
781,27-05-2022,3,190000,1350,65 out of 76,Carpet Area,"Lodha Marquise, Worli",Mumbai,Semi-Furnished,Family,4,Contact Agent
782,27-04-2022,3,61000,1550,5 out of 20,Carpet Area,"Lovedale Residences, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
783,27-06-2022,3,70000,1100,7 out of 10,Carpet Area,"Kohinoor City Phase II, Holly Cross Church Chowk",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
784,16-06-2022,3,42000,,5 out of 7,Carpet Area,Mulund East,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
785,10-06-2022,1,27000,400,1 out of 7,Carpet Area,Govandi Station Road,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
786,23-06-2022,2,60000,700,3 out of 4,Carpet Area,Irla,Mumbai,Furnished,Bachelors,2,Contact Agent
787,23-05-2022,3,85000,850,3 out of 4,Super Area,Sion East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
788,30-06-2022,2,75000,900,7 out of 9,Carpet Area,"Marine Palace, Marine Lines",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
789,14-05-2022,3,200000,1208,5 out of 14,Carpet Area,Khar West,Mumbai,Unfurnished,Bachelors,3,Contact Agent
790,09-07-2022,3,170000,1150,8 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
791,15-06-2022,3,180000,1600,17 out of 60,Carpet Area,"Island City Centre, Dadar TT Circle",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
792,06-07-2022,2,55000,700,10 out of 11,Carpet Area,"Shiv Bhagtani Manor 3A, Powai",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
793,13-06-2022,5,600000,3200,10 out of 16,Carpet Area,Bandra East,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
794,23-05-2022,1,18000,330,20 out of 22,Super Area,Antop Hill,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
795,04-06-2022,1,19000,225,18 out of 25,Super Area,Worli,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
796,23-06-2022,3,150000,1050,5 out of 7,Carpet Area,JVPD Scheme,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
797,19-05-2022,1,18500,225,4 out of 7,Carpet Area,Lower Parel,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
798,07-07-2022,1,35000,463,5 out of 7,Carpet Area,Rambaug,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
799,06-07-2022,4,200000,1900,5 out of 11,Carpet Area,"Dheeraj Insignia Apartment, Bandra Kurla Complex",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
800,27-05-2022,2,150000,1500,15 out of 17,Super Area,Agripada,Mumbai,Furnished,Bachelors/Family,4,Contact Owner
801,27-05-2022,2,70000,,15 out of 23,Carpet Area,"Lake Primrose, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
802,27-06-2022,1,35000,450,6 out of 10,Carpet Area,Borivali West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
803,20-06-2022,2,45000,,5 out of 17,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Owner
804,23-06-2022,1,30000,355,2 out of 7,Carpet Area,Chembur East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
805,23-06-2022,3,50000,,3 out of 28,Carpet Area,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
806,29-04-2022,2,50000,950,4 out of 8,Super Area,Ghatkopar East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
807,04-06-2022,1,42000,600,5 out of 24,Super Area,"Universal Neo Galaxy, Bhuleshwar",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
808,30-05-2022,2,19500,905,16 out of 32,Carpet Area,Navi Mumbai-Khargar-Panvel,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
809,30-06-2022,3,90000,1500,6 out of 10,Carpet Area,Walkeshwar,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
810,30-06-2022,1,60000,455,18 out of 22,Carpet Area,"Sugee Sadan, Dadar West",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
811,20-06-2022,2,55000,850,3 out of 3,Carpet Area,Mahim West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
812,26-06-2022,3,40000,1100,21 out of 22,Super Area,"Hudco Living Point, Bhandup West",Mumbai,Unfurnished,Family,2,Contact Owner
813,12-06-2022,1,40000,430,4 out of 8,Carpet Area,"Sion East, Sion",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
814,07-07-2022,2,36000,650,10 out of 12,Carpet Area,"Keshav Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
815,09-07-2022,2,45000,795,7 out of 13,Carpet Area,"Runwal Elina, Andheri East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
816,20-05-2022,2,100000,800,9 out of 12,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
817,23-06-2022,1,42000,700,15 out of 32,Super Area,"Llyod Estate, Wadala",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
818,03-07-2022,1,45000,450,5 out of 7,,Lokhandwala Complex,Mumbai,Furnished,Family,2,Contact Agent
819,12-06-2022,2,40000,575,4 out of 7,,"Sunglow, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
820,12-06-2022,2,50000,650,Ground out of 3,Carpet Area,Mahim West,Mumbai,Furnished,Bachelors,3,Contact Agent
821,24-06-2022,1,11000,200,4 out of 4,Super Area,Parle Colony,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
822,29-04-2022,2,50000,1200,2 out of 4,Super Area,Andheri East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
823,14-05-2022,1,34000,656,16 out of 23,Super Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
824,09-07-2022,3,93000,1600,18 out of 27,Carpet Area,"Godrej Platinum, Vikhroli East",Mumbai,Semi-Furnished,Family,3,Contact Agent
825,26-05-2022,3,69999,950,7 out of 12,Carpet Area,Chembur East,Mumbai,Unfurnished,Family,3,Contact Agent
826,04-06-2022,2,48000,719,14 out of 20,Carpet Area,"Raheja Heights Phase 2, Gokuldham",Mumbai,Semi-Furnished,Family,2,Contact Agent
827,30-06-2022,3,55000,1100,15 out of 16,Carpet Area,"Sakhi, Kandivali West",Mumbai,Unfurnished,Bachelors,3,Contact Agent
828,18-05-2022,4,1000000,3064,18 out of 45,Carpet Area,"Raheja Artesia, Worli",Mumbai,Semi-Furnished,Family,4,Contact Agent
829,19-05-2022,2,40000,650,15 out of 15,Carpet Area,"Rustomjee Regency, Gomant Nagar",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
830,09-07-2022,3,130000,1450,9 out of 10,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
831,30-06-2022,2,75000,,6 out of 14,Carpet Area,"Vikas Finalay Apartments, Parel",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
832,20-06-2022,2,23000,670,1 out of 20,Super Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
833,09-07-2022,3,200000,1350,1 out of 5,Carpet Area,anjali,Mumbai,Furnished,Bachelors,3,Contact Agent
834,09-07-2022,3,55000,925,16 out of 36,Carpet Area,"Runwal Greens, Mulund West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
835,09-07-2022,4,80000,1450,30 out of 44,Carpet Area,Best Nagar Goregaon West,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
836,06-07-2022,3,220000,1550,30 out of 37,Carpet Area,"Hiranandani Gardens Torino, Hiranandani Gardens",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
837,07-07-2022,1,40000,420,5 out of 7,Carpet Area,Chembur,Mumbai,Semi-Furnished,Family,2,Contact Agent
838,06-07-2022,2,35000,650,5 out of 8,Carpet Area,"Riddhi Garden, Film City Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
839,31-05-2022,2,33003,700,3 out of 7,Carpet Area,Dahisar West,Mumbai,Furnished,Family,2,Contact Agent
840,19-05-2022,5,450000,3400,2 out of 5,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
841,07-07-2022,2,65000,935,2 out of 4,Super Area,in Matunga West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
842,30-05-2022,2,45000,980,Ground out of 5,Carpet Area,"Aditi Apartment, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
843,17-05-2022,4,280000,2800,2 out of 9,Carpet Area,JVPD Scheme,Mumbai,Furnished,Family,4,Contact Agent
844,14-05-2022,2,55000,700,4 out of 6,Carpet Area,Andheri West,Mumbai,Furnished,Bachelors,3,Contact Agent
845,19-05-2022,2,56000,720,12 out of 22,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
846,09-07-2022,2,55000,750,1 out of 7,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
847,31-05-2022,2,28000,700,4 out of 12,Carpet Area,"Usha Nagar Society, Bhandup West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
848,31-05-2022,2,150000,1000,4 out of 9,Carpet Area,"Smoky Hill Apartment, Bandra West",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
849,12-06-2022,5,300000,3000,2 out of 22,Carpet Area,Chandivali,Mumbai,Furnished,Bachelors/Family,5,Contact Agent
850,02-07-2022,1,50000,413,5 out of 6,Carpet Area,Grant Road,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
851,22-05-2022,4,180000,,6 out of 18,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Family,4,Contact Agent
852,31-05-2022,3,190000,1850,35 out of 55,Carpet Area,"Crescent Bay Callisto, Parel",Mumbai,Semi-Furnished,Bachelors,4,Contact Agent
853,06-05-2022,2,8000,890,4 out of 4,Carpet Area,new panvel,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
854,23-06-2022,3,75000,1200,5 out of 12,Carpet Area,Chembur,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
855,16-06-2022,3,83000,1100,9 out of 20,Carpet Area,"Raheja Vista, Powai",Mumbai,Furnished,Bachelors,3,Contact Agent
856,07-07-2022,1,32000,420,1 out of 3,Carpet Area,Chembur,Mumbai,Semi-Furnished,Family,2,Contact Agent
857,06-07-2022,2,39000,630,6 out of 7,Carpet Area,"Yashodham Complex, Goregaon East",Mumbai,Unfurnished,Family,2,Contact Agent
858,03-06-2022,4,150000,1705,16 out of 29,Carpet Area,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,Family,3,Contact Agent
859,23-06-2022,3,190000,1300,1 out of 7,Carpet Area,"Sunflower Apartment, Bandra West",Mumbai,Furnished,Bachelors,3,Contact Agent
860,08-06-2022,3,160000,1355,30 out of 45,Carpet Area,"Oberoi Exquisite II, Film City Road",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
861,20-06-2022,1,25000,,5 out of 7,Carpet Area,Goregaon West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
862,27-05-2022,3,90000,1350,5 out of 12,Carpet Area,"Mahindra Vivante, Chakala",Mumbai,Unfurnished,Family,3,Contact Agent
863,14-05-2022,2,95000,825,17 out of 22,Carpet Area,"lokhandwala residency, Worli",Mumbai,Furnished,Bachelors,2,Contact Agent
864,04-07-2022,1,30000,550,2 out of 4,Super Area,"Jumbo Darshan , Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
865,25-05-2022,1,18500,430,5 out of 7,Carpet Area,"Gokul Accord, Thakur Complex",Mumbai,Unfurnished,Family,1,Contact Agent
866,16-06-2022,1,18000,320,5 out of 7,Carpet Area,"spring grove uno, Lokhandwala Twp",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
867,23-06-2022,3,75000,1100,4 out of 12,Carpet Area,Chembur,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
868,14-05-2022,4,150000,1460,11 out of 13,Carpet Area,"Insignia, Bandra East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
869,12-06-2022,3,100000,1250,6 out of 18,Carpet Area,"Panch Ritu, Chandivali",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
870,28-06-2022,2,170000,1000,5 out of 9,Carpet Area,Breach Candy,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
871,07-07-2022,2,45000,710,8 out of 16,Carpet Area,Saki Vihar Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
872,09-07-2022,3,200000,1350,1 out of 5,Carpet Area,Anand niwas,Mumbai,Furnished,Bachelors,3,Contact Agent
873,23-06-2022,2,20000,400,3 out of 3,Carpet Area,Pant Nagar,Mumbai,Furnished,,1,Contact Owner
874,07-07-2022,3,85000,1000,16 out of 25,Carpet Area,"DLH Orchid, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
875,06-07-2022,3,130000,1500,7 out of 12,Carpet Area,Central Avenue Road,Mumbai,Unfurnished,Family,3,Contact Agent
876,09-07-2022,1,40000,500,3 out of 6,Super Area,"7 Bungalow, Seven Bungalows",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
877,30-06-2022,4,250000,2000,33 out of 42,Carpet Area,"Imperial Heights, Goregaon West",Mumbai,Furnished,Bachelors,4,Contact Agent
878,29-04-2022,1,15000,225,Ground out of 4,Carpet Area,Shrikrupa Society,Mumbai,Unfurnished,Bachelors,1,Contact Owner
879,13-05-2022,2,40000,,12 out of 19,Carpet Area,Mulund West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
880,06-07-2022,2,48000,670,4 out of 16,Carpet Area,"Velentine Tower, Goregaon East",Mumbai,Semi-Furnished,Family,2,Contact Owner
881,31-05-2022,2,15000,610,Ground out of 6,Carpet Area,"RNA Broadway Avenue, Mira Road",Mumbai,Semi-Furnished,Bachelors,1,Contact Owner
882,01-07-2022,1,28000,400,1 out of 5,Carpet Area,Chakala,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
883,18-06-2022,1,25000,340,13 out of 23,Carpet Area,"Mahalaxmi CHS, Worli",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
884,23-05-2022,2,34000,471,9 out of 38,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
885,03-06-2022,1,75000,550,6 out of 8,Carpet Area,Carter Road,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
886,19-05-2022,2,45000,630,8 out of 13,Carpet Area,"Crescent Solitaire, Sakinaka Junction",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
887,27-05-2022,1,35000,500,1 out of 8,Super Area,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
888,06-07-2022,1,32000,400,3 out of 7,Carpet Area,"Trans Residency, Andheri East",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
889,04-07-2022,2,17000,1000,3 out of 7,Super Area,"holy complex ,Mira Road, Mumbai",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
890,20-06-2022,4,230000,1528,65 out of 76,Carpet Area,"Lodha Marquise, Worli",Mumbai,Unfurnished,Family,4,Contact Agent
891,17-05-2022,2,35000,650,5 out of 7,Carpet Area,"Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
892,31-05-2022,1,8500,500,6 out of 7,Carpet Area,Thane-Kalyan-Dombivli,Mumbai,Unfurnished,Bachelors,1,Contact Owner
893,19-05-2022,3,80000,850,19 out of 30,Carpet Area,"Oberoi Splendor, Agarkar Chowk",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
894,14-05-2022,1,55000,550,13 out of 14,Carpet Area,"Paschim Apartments, Prabhadevi",Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
895,12-06-2022,1,25000,430,7 out of 21,Carpet Area,"Godrej Tranquil, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
896,01-07-2022,3,40000,1030,10 out of 14,Carpet Area,"Bhairav Residency, Mira Road",Mumbai,Furnished,Family,3,Contact Agent
897,27-06-2022,1,15500,250,11 out of 24,Carpet Area,"MHADA Century Mill, Prabhadevi",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
898,06-07-2022,1,45000,500,9 out of 16,Carpet Area,Mahim,Mumbai,Unfurnished,Bachelors,2,Contact Agent
899,07-07-2022,4,180000,1750,9 out of 31,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent
900,06-07-2022,2,51000,985,7 out of 15,Carpet Area,"Chembur Heights, Sindhi Society Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
901,20-06-2022,3,60000,1050,12 out of 13,Carpet Area,"Veena Signature, Borivali West",Mumbai,Unfurnished,Bachelors,3,Contact Agent
902,23-05-2022,2,36000,700,4 out of 15,Carpet Area,Borivali East,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
903,24-06-2022,3,180000,1200,10 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
904,23-06-2022,3,75000,1000,6 out of 12,Carpet Area,Chembur,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
905,20-06-2022,2,8000,,3 out of 9,Carpet Area,"Nakoda Heights, Nalasopara",Mumbai,Unfurnished,Family,2,Contact Agent
906,10-05-2022,3,50000,806,2 out of 4,Super Area,Wadala,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
907,09-07-2022,3,100000,1400,22 out of 30,Carpet Area,"Hiranandani Verona Co op Housing Society Ltd, Powai",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
908,07-07-2022,1,16500,470,11 out of 14,Carpet Area,"Kanungos Garden City, Mira Road East",Mumbai,Semi-Furnished,Family,2,Contact Agent
909,31-05-2022,1,4500,475,3 out of 4,Super Area,Nalasopara West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
910,07-07-2022,2,34000,583,10 out of 23,Carpet Area,"Oasis, Akurli Nagar",Mumbai,Unfurnished,Family,2,Contact Agent
911,16-06-2022,2,32000,475,8 out of 12,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
912,12-05-2022,2,50000,900,1 out of 8,Carpet Area,Yashodham,Mumbai,Furnished,Family,2,Contact Agent
913,07-07-2022,1,24000,500,3 out of 7,Carpet Area,Dattani Park,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
914,06-07-2022,2,62000,806,3 out of 58,Carpet Area,"Auris Serenity, Malad West",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
915,07-07-2022,1,100000,400,9 out of 10,Carpet Area,"Violette Valley, Bandra West",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
916,29-04-2022,1,21000,650,6 out of 10,Super Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
917,29-04-2022,1,27000,550,4 out of 15,Super Area,"Raj Hill, Borivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
918,30-06-2022,1,10000,390,3 out of 4,Carpet Area,Mira Road East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
919,30-06-2022,2,90000,994,2 out of 2,Carpet Area,"Ajmera Treon, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
920,31-05-2022,1,8000,520,6 out of 8,Super Area,Virar West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
921,15-06-2022,1,75000,575,1 out of 9,Carpet Area,Malabar Hill,Mumbai,Semi-Furnished,Family,1,Contact Agent
922,09-07-2022,3,230000,,53 out of 60,Carpet Area,"Lodha World Crest, Lower Parel",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
923,13-06-2022,1,15000,470,5 out of 22,Carpet Area,"Man Opus, Mira Road East",Mumbai,Semi-Furnished,Family,2,Contact Agent
924,06-07-2022,4,260000,2500,3 out of 7,Carpet Area,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
925,09-07-2022,3,62000,1100,15 out of 22,Carpet Area,"Lake Homes, Powai",Mumbai,Semi-Furnished,Family,3,Contact Agent
926,27-06-2022,1,43500,480,6 out of 7,Carpet Area,Yari Road,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
927,27-05-2022,2,62000,750,12 out of 16,Carpet Area,"Cosmopolis Tower, Andheri West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
928,27-05-2022,4,400000,2424,5 out of 14,Carpet Area,"Rustomjee Elements, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
929,06-07-2022,2,77500,724,19 out of 21,Carpet Area,"Sethia Grandeur, Bandra East",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
930,19-05-2022,1,30000,600,5 out of 5,Carpet Area,Mulund Railway Station,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
931,23-06-2022,3,110000,,9 out of 40,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
932,29-04-2022,1,20000,800,3 out of 4,Super Area,in Byculla,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
933,06-07-2022,3,150000,1300,6 out of 7,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
934,04-07-2022,1,55000,500,1 out of 7,Carpet Area,Bandra West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
935,22-06-2022,2,70000,700,Ground out of 8,Carpet Area,Santacruz West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
936,23-05-2022,2,65000,700,4 out of 9,Carpet Area,Kamla Nagar,Mumbai,Furnished,Bachelors,2,Contact Agent
937,09-07-2022,3,310000,2170,44 out of 75,Carpet Area,"Omkar 1973, Worli",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
938,17-06-2022,1,18000,225,18 out of 24,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,2,Contact Agent
939,23-06-2022,1,48000,485,8 out of 17,Carpet Area,"Kanakia Sevens, Andheri East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
940,29-04-2022,1,10000,225,7 out of 8,Super Area,Kanjurmarg East,Mumbai,Unfurnished,unknown,1,Contact Owner
941,16-06-2022,1,32000,478,4 out of 11,Carpet Area,"Blue Monarch, Marol",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
942,10-05-2022,3,32000,1200,4 out of 5,Super Area,"Ishwardas Bhuvan CHS, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
943,07-07-2022,2,36000,620,3 out of 14,Carpet Area,Datta Pada,Mumbai,Semi-Furnished,Family,2,Contact Agent
944,08-06-2022,1,22000,280,3 out of 7,Carpet Area,"Suryodaya CHS, Prabhadevi",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
945,20-06-2022,1,5500,385,3 out of 9,Carpet Area,"Manibhadra Avenue, Morya Nagar",Mumbai,Unfurnished,Family,1,Contact Agent
946,25-05-2022,3,15000,704,5 out of 17,Carpet Area,Thane-Kalyan-Dombivli,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
947,29-04-2022,2,40000,710,3 out of 4,Carpet Area,Anushakti Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
948,29-04-2022,1,28000,525,2 out of 8,Super Area,"Balkrishna, Goregaon East",Mumbai,Unfurnished,unknown,1,Contact Owner
949,30-06-2022,1,11000,390,Ground out of 4,Carpet Area,Mira Road East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
950,06-07-2022,2,40000,755,12 out of 31,Carpet Area,"Omkar Ananta, Goregaon East",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
951,27-05-2022,2,45000,700,3 out of 7,Carpet Area,Oshiwara,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
952,10-06-2022,2,180000,1000,6 out of 10,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
953,24-06-2022,3,160000,2000,Upper Basement out of 30,Carpet Area,"Flora Heights, Andheri West",Mumbai,Furnished,Family,3,Contact Agent
954,01-07-2022,2,36000,650,3 out of 4,Carpet Area,Tata Nagar,Mumbai,Unfurnished,Family,2,Contact Agent
955,30-06-2022,1,59000,470,26 out of 42,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
956,30-06-2022,1,40000,450,3 out of 8,Carpet Area,"TATA Housing Merwanjee Cama Park, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
957,10-05-2022,2,40000,625,6 out of 10,Super Area,Goregaon West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
958,23-05-2022,2,72000,700,3 out of 9,Carpet Area,Gulmohar Road,Mumbai,Furnished,Bachelors,2,Contact Agent
959,07-07-2022,2,40000,600,4 out of 10,Carpet Area,"Mindspace, Mindspace",Mumbai,Unfurnished,Family,2,Contact Agent
960,11-06-2022,2,16000,600,2 out of 3,Carpet Area,Nerul sector-3,Mumbai,Unfurnished,Family,1,Contact Owner
961,27-06-2022,2,50000,1100,14 out of 22,Super Area,"Magnum Tower CHS, Lokhandwala Complex",Mumbai,Furnished,Bachelors/Family,4,Contact Agent
962,27-05-2022,1,24000,370,5 out of 8,Carpet Area,"Kanakia Sanskruti, Thakur Complex",Mumbai,Semi-Furnished,Family,1,Contact Agent
963,09-07-2022,2,65000,950,2 out of 45,Carpet Area,"DB Woods, Gokuldham",Mumbai,Semi-Furnished,unknown,2,Contact Agent
964,07-07-2022,2,33000,825,12 out of 13,Super Area,Mulund East,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
965,16-06-2022,2,27000,650,2 out of 7,Carpet Area,Kandivali West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
